"country","ForestAreaPctAnnualChange1990To2020","ForestArea2020","ForestArea1990","ForestAreaPctAnnualChange2010To2020","ForestAreaPctAnnualChange2000To2010","ForestAreaPctAnnualChange1990To2000"
"Nicaragua",-46.74,3408,6399,-2.04,-2.51,-1.68
"Bulgaria",17.01,3893,3327,0.41,1.02,0.14
"Serbia",17.73,2723,2313,0.04,0.98,0.62
"El Salvador",-18.78,584,719,-0.74,-0.69,-0.64
"Denmark",18.27,628,531,0.69,0.26,0.73
"Singapore",6.67,16,15,-1.3,0.42,1.39
"Lebanon",2.14,143,140,0.43,-0.06,-0.11
"Finland",2.44,22409,21875,0.07,-0.09,0.26
"Liberia",-10.65,7617,8525,-0.39,-0.37,-0.36
"Norway",0.4,12180,12132,0.06,-0.01,-0.02
"Slovakia",1.26,1926,1902,0.04,0.09,-0.01
"Palestine",11.11,10,9,0.19,0.92,
"Central African Republic",-3.88,22303,23203,-0.13,-0.13,-0.13
"Oman",,3,3,-1.81,,
"Ireland",69.26,782,462,0.82,1.34,3.16
"New Zealand",5.56,9893,9372,0.05,,0.5
"Mauritania",-34.24,313,476,-1.59,-1.37,-1.21
"Costa Rica",4.4,3035,2907,0.56,0.05,-0.17
"Kuwait",100,6,3,,2.57,3.46
"Panama",-8.53,4214,4607,-0.27,-0.26,-0.36
"Croatia",4.81,1939,1850,0.1,0.18,0.19
"Georgia",2.54,2822,2752,,0.22,0.03
"Eritrea",-8.26,1055,1150,-0.29,-0.29,-0.28
"Mongolia",-1.25,14173,14352,-0.01,-0.06,-0.06
"Uruguay",154.51,2031,798,1.61,2.38,5.55
"Puerto Rico",55,496,320,0.1,1.36,2.97
"Bosnia and Herzegovina",-1,2188,2210,0.4,-0.04,-0.45
"Moldova",19.08,387,325,0.32,0.84,0.57
"Namibia",-24.29,6639,8769,-1.01,-0.92,-0.84
"Armenia",-2.09,328,335,-0.06,-0.06,-0.06
"Lithuania",13.16,2201,1945,0.14,0.72,0.38
"Jamaica",14.59,597,521,0.67,0.7,-0.01
"Albania",,789,789,0.09,0.16,-0.25
"Gambia",-41.45,243,415,-2.1,-1.73,-1.48
"Gabon",-0.97,23531,23762,-0.05,-0.02,-0.03
"Botswana",-18.87,15255,18804,-0.74,-0.69,-0.65
"Lesotho",,35,35,,,
"Guinea-Bissau",-11.33,1980,2233,-0.42,-0.4,-0.38
"Slovenia",4.21,1238,1188,-0.07,0.11,0.37
"Equatorial Guinea",-9.3,2448,2699,-0.34,-0.32,-0.31
"Latvia",7.5,3411,3173,0.11,0.4,0.21
"North Macedonia",9.76,1001,912,0.42,0.03,0.49
"Bahrain",,1,,3.02,3.46,5.34
"Trinidad and Tobago",-5.79,228,242,-0.18,-0.18,-0.23
"Timor-Leste",-4.36,921,963,-0.15,-0.15,-0.15
"Estonia",10.52,2438,2206,0.43,0.43,0.15
"Cyprus",7.45,173,161,-0.02,0.07,0.63
"Mauritius",-4.88,39,41,0.1,-0.88,0.21
"Eswatini",8.03,498,461,0.25,0.25,0.26
"Djibouti",,6,6,0.35,,
"Fiji",21.28,1140,940,0.61,0.64,0.69
"Reunion",11.36,98,88,0.46,0.33,0.34
"Comoros",-28.26,33,46,-1.24,-1.1,-0.99
"Guyana",-1.01,18415,18602,-0.06,-0.02,-0.02
"Solomon Islands",-0.86,2523,2545,-0.03,-0.03,-0.03
"Bhutan",8.7,2725,2507,0.07,0.37,0.39
"Luxembourg",3.49,89,86,,0.23,0.1
"Montenegro",32.11,827,626,,2.82,
"Suriname",-1.18,15196,15378,-0.07,-0.03,-0.02
"Western Sahara",,665,665,,-0.06,0.06
"Maldives",,1,1,,,
"Cape Verde",206.67,46,15,0.68,0.73,9.95
"Brunei",-7.99,380,413,,-0.44,-0.39
